#id sdkAdded compatAdded codepoints
F0207 19 1 3030
F0208 19 1 1F41E
F0209 19 1 1F41D
F020A 19 1 1F41F
F020B 19 1 1F41A
F020C 19 1 1F41C
F020D 19 1 1F41B
F020E 19 1 1F486
F020F 19 1 1F487
F0210 19 1 1F484
F0211 19 1 1F485
F0212 19 1 1F482
F0213 19 1 1F483
F0214 19 1 1F480
F0215 19 1 1F481
F0216 19 1 1F640
F0217 19 1 1F61D
F0218 19 1 1F3E3
F0219 19 1 1F609
F021A 19 1 1F645
F021B 19 1 1F646
F021C 19 1 1F647
F021D 19 1 1F561
F021E 19 1 1F560
F021F 19 1 1F563
F0220 19 1 1F562
F0221 19 1 1F565
F0222 19 1 1F564
F0223 19 1 1F567
F0224 19 1 1F566
F0225 19 1 1F6B8
F0226 19 1 1F6B9
F0227 19 1 261D
F0228 19 1 1F6B2
F0229 19 1 1F6B3
F022A 19 1 1F6B0
F022B 19 1 1F6B1
F022C 19 1 2122
F022D 19 1 1F6B7
F022E 19 1 2728
F022F 19 1 1F6B5
F0230 19 1 26D4
F0231 19 1 1F4CF
F0232 19 1 1F4CE
F0233 19 1 1F4CD
F0234 19 1 1F4CC
F0235 19 1 1F4CB
F0236 19 1 1F4CA
F0237 19 1 1F64A
F0238 19 1 1F64B
F0239 19 1 1F63B
F023A 19 1 1F64D
F023B 19 1 1F64E
F023C 19 1 1F64F
F023D 19 1 1F415
F023E 19 1 1F414
F023F 19 1 1F417
F0240 19 1 1F416
F0241 19 1 1F411
F0242 19 1 1F410
F0243 19 1 1F413
F0244 19 1 1F412
F0245 19 1 1F48F
F0246 19 1 1F48D
F0247 19 1 1F48E
F0248 19 1 1F419
F0249 19 1 1F418
F024A 19 1 1F48A
F024B 19 1 1F4A3
F024C 19 1 1F4C9
F024D 19 1 1F4C8
F024E 19 1 1F4C7
F024F 19 1 1F4C6
F0250 19 1 1F4C5
F0251 19 1 1F4C4
F0252 19 1 1F4C3
F0253 19 1 1F4C2
F0254 19 1 1F4C1
F0255 19 1 1F4C0
F0256 19 1 2611
F0257 19 1 2614
F0258 19 1 2615
F0259 19 1 1F6BB
F025A 19 1 1F424
F025B 19 1 1F6BA
F025C 19 1 1F6BF
F025D 19 1 1F6BD
F025E 19 1 1F425
F025F 19 1 1F426
F0260 19 1 1F4A8
F0262 19 1 1F33D
F0263 19 1 1F380
F0264 19 1 1F383
F0265 19 1 1F384
F0266 19 1 1F459
F0267 19 1 1F524
F0268 19 1 1F387
F0269 19 1 1F511
F026A 19 1 1F386
F026B 19 1 1F512
F026C 19 1 1F3AB
F026D 19 1 1F513
F026E 19 1 1F388
F026F 19 1 1F514
F0270 19 1 1F515
F0271 19 1 1F356
F0272 19 1 1F357
F0273 19 1 1F354
F0274 19 1 1F355
F0275 19 1 1F352
F0276 19 1 1F353
F0277 19 1 1F350
F0278 19 1 1F351
F0279 19 1 1F45A
F027A 19 1 1F45C
F027B 19 1 1F45B
F027C 19 1 1F45E
F027D 19 1 1F45D
F027E 19 1 1F358
F027F 19 1 1F359
F0280 19 1 1F518
F0281 19 1 1F1F9
F0282 19 1 1F1F8
F0283 19 1 1F519
F0284 19 1 1F1F5
F0285 19 1 1F1F4
F0286 19 1 1F1F7
F0287 19 1 1F1F6
F0288 19 1 1F1F1
F0289 19 1 1F1F0
F028A 19 1 1F1F3
F028B 19 1 1F1F2
F028C 19 1 1F526
F028D 19 1 1F488
F028E 19 1 1F489
F028F 19 1 1F320
F0290 19 1 1F21A
F0291 19 1 1F4F6
F0292 19 1 1F1FE
F0293 19 1 1F1FD
F0294 19 1 1F1FF
F0295 19 1 1F1FA
F0296 19 1 1F1FC
F0297 19 1 1F1FB
F0298 19 1 1F35F
F0299 19 1 1F458
F029A 19 1 1F35D
F029B 19 1 1F35E
F029C 19 1 1F35B
F029D 19 1 1F35C
F029E 19 1 1F516
F029F 19 1 1F35A
F02A0 19 1 1F451
F02A1 19 1 1F450
F02A2 19 1 1F453
F02A3 19 1 1F452
F02A4 19 1 1F455
F02A5 19 1 1F454
F02A6 19 1 263A
F02A7 19 1 1F456
F02A8 19 1 1F523
F02A9 19 1 1F42A
F02AA 19 1 1F613
F02AB 19 1 23F3
F02AC 19 1 23F0
F02AD 19 1 1F648
F02AE 19 1 1F649
F02AF 19 1 1F17F
F02B0 19 1 1F17E
F02B1 19 1 1F62A
F02B2 19 1 1F612
F02BB 19 1 1F611
F02BC 19 1 1F170
F02BD 19 1 1F171
F02BE 19 1 1F6A3
F02BF 19 1 1F610
F02C0 19 1 1F5FB
F02C1 19 1 1F6A2
F02C2 19 1 1F527
F02C3 19 1 1F318
F02C4 19 1 1F319
F02C5 19 1 1F312
F02C6 19 1 1F313
F02C7 19 1 1F310
F02C8 19 1 1F311
F02C9 19 1 1F316
F02CA 19 1 1F317
F02CB 19 1 1F314
F02CC 19 1 1F315
F02CD 19 1 1F22F
F02CE 19 1 1F55E
F02CF 19 1 1F55F
F02D0 19 1 1F55A
F02D1 19 1 1F55B
F02D2 19 1 1F55C
F02D3 19 1 1F49E
F02D4 19 1 1F49D
F02D5 19 1 1F49F
F02D6 19 1 1F49A
F02D7 19 1 1F6A9
F02D8 19 1 1F49C
F02D9 19 1 1F49B
F02DA 19 1 1F6A8
F02DB 19 1 26EA
F02DC 19 1 1F615
F02DD 19 1 1F554
F02DE 19 1 1F555
F02DF 19 1 1F556
F02E0 19 1 1F557
F02E1 19 1 1F499
F02E2 19 1 1F498
F02E3 19 1 1F552
F02E4 19 1 1F553
F02E5 19 1 1F495
F02E6 19 1 1F494
F02E7 19 1 AE
F02E8 19 1 1F496
F02E9 19 1 1F491
F02EA 19 1 1F490
F02EB 19 1 1F493
F02EC 19 1 1F492
F02ED 19 1 1F528
F02EE 19 1 1F31B
F02EF 19 1 1F31C
F02F0 19 1 1F614
F02F1 19 1 1F31A
F02F2 19 1 1F31F
F02F3 19 1 1F31D
F02F4 19 1 1F31E
F02F5 19 1 2753
F02F6 19 1 2755
F02F7 19 1 2754
F02F8 19 1 1F6C1
F02F9 19 1 2693
F02FA 19 1 1F6C3
F02FB 19 1 1F6C2
